program,module_name,kind,count,n,runs_completed,avg_time_sec,status,raw_times_sec
MM_RS_mpi,Rough Simple MPI,mpi,4,2000,5,11.563536,ok,12.018671;11.964403;11.280056;11.197119;11.357430
MM_RS_mpi,Rough Simple MPI,mpi,6,2000,5,7.941401,ok,7.262682;7.801202;8.238447;8.222081;8.182595
MM_RS_mpi,Rough Simple MPI,mpi,8,2000,5,10.216720,ok,10.080330;10.236309;10.459130;10.125577;10.182256
MM_RS_mpi,Rough Simple MPI,mpi,10,2000,5,8.123261,ok,8.013303;8.193997;8.153265;8.105304;8.150436
MM_RS_mpi,Rough Simple MPI,mpi,12,2000,5,7.057218,ok,7.049607;7.039472;7.006040;7.073929;7.117043
MM_RS_mpi,Rough Simple MPI,mpi,14,2000,5,6.320912,ok,6.351056;6.314053;6.325204;6.333093;6.281155
MM_RS_openmp,Rough Simple OpenMP,openmp,4,2000,5,9.429220,ok,9.281103;9.347837;9.625816;9.367340;9.524003
MM_RS_openmp,Rough Simple OpenMP,openmp,6,2000,5,6.757360,ok,6.533172;6.664367;6.904415;6.850314;6.834531
MM_RS_openmp,Rough Simple OpenMP,openmp,8,2000,5,6.387844,ok,6.510879;6.339789;6.386039;6.324456;6.378058
MM_RS_openmp,Rough Simple OpenMP,openmp,10,2000,5,5.818770,ok,5.711634;5.802936;5.867299;5.853939;5.858044
MM_RS_openmp,Rough Simple OpenMP,openmp,12,2000,5,5.029833,ok,5.047970;4.990014;5.076307;5.073377;4.961499
MM_RS_openmp,Rough Simple OpenMP,openmp,14,2000,5,4.736413,ok,4.861121;4.706819;4.736257;4.684750;4.693120
