program,module_name,n,runs_completed,avg_time_sec,status,raw_times_sec
MM_cblas_mpi,CBLAS MPI,10,5,0.001075,ok,0.001011;0.001082;0.001119;0.001072;0.001092
MM_cblas_mpi,CBLAS MPI,100,5,0.001351,ok,0.001331;0.001371;0.001358;0.001345;0.001348
MM_cblas_mpi,CBLAS MPI,500,5,0.007594,ok,0.007544;0.007698;0.007344;0.007510;0.007874
MM_cblas_mpi,CBLAS MPI,1000,5,0.025541,ok,0.026110;0.025664;0.024877;0.024960;0.026092
MM_cblas_mpi,CBLAS MPI,5000,5,1.471109,ok,1.435339;1.437681;1.443074;1.497114;1.542335
MM_cblas_mpi,CBLAS MPI,10000,5,15.983163,ok,12.570929;16.857060;16.819094;16.971838;16.696894
MM_cblas_openmp,CBLAS OpenMP,10,5,0.008070,ok,0.011346;0.012008;0.010932;0.002926;0.003139
MM_cblas_openmp,CBLAS OpenMP,100,5,0.010788,ok,0.003988;0.020348;0.013321;0.010837;0.005448
MM_cblas_openmp,CBLAS OpenMP,500,5,0.471737,ok,0.495645;0.452364;0.517432;0.482772;0.410471
MM_cblas_openmp,CBLAS OpenMP,1000,5,0.835675,ok,0.857611;0.735899;0.934872;0.906475;0.743517
MM_cblas_openmp,CBLAS OpenMP,5000,5,4.673980,ok,4.861972;4.719413;4.303562;4.800524;4.684430
MM_cblas_openmp,CBLAS OpenMP,10000,5,23.093640,ok,21.723090;24.116338;23.496556;22.421876;23.710342
MM_cblas_seq,CBLAS sequential,10,5,0.000474,ok,0.000478;0.000500;0.000499;0.000430;0.000461
MM_cblas_seq,CBLAS sequential,100,5,0.001985,ok,0.001628;0.001104;0.004943;0.001174;0.001078
MM_cblas_seq,CBLAS sequential,500,5,0.005802,ok,0.009792;0.006435;0.004612;0.003943;0.004227
MM_cblas_seq,CBLAS sequential,1000,5,0.012497,ok,0.010487;0.020101;0.011182;0.010308;0.010405
MM_cblas_seq,CBLAS sequential,5000,5,1.291193,ok,1.157414;1.366178;1.430668;1.257101;1.244606
MM_cblas_seq,CBLAS sequential,10000,5,11.481013,ok,11.010015;11.598939;11.594051;11.355496;11.846565
MM_RS_mpi,Rough Simple MPI,10,5,0.000224,ok,0.000330;0.000229;0.000147;0.000221;0.000191
MM_RS_mpi,Rough Simple MPI,100,5,0.000803,ok,0.000719;0.000669;0.000702;0.000697;0.001228
MM_RS_mpi,Rough Simple MPI,500,5,0.087163,ok,0.085897;0.084778;0.089045;0.088703;0.087394
MM_RS_mpi,Rough Simple MPI,1000,5,0.686703,ok,0.679600;0.689773;0.689394;0.687038;0.687709
MM_RS_mpi,Rough Simple MPI,5000,5,118.738739,ok,115.860959;118.603014;121.934773;119.387532;117.907415
MM_RS_mpi,Rough Simple MPI,10000,5,1502.465090,ok,1504.555474;1488.015817;1509.029208;1509.901235;1500.823716
MM_RS_openmp,Rough Simple OpenMP,10,5,0.003497,ok,0.007650;0.003595;0.001853;0.002193;0.002194
MM_RS_openmp,Rough Simple OpenMP,100,5,0.012746,ok,0.013787;0.013660;0.016323;0.012983;0.006977
MM_RS_openmp,Rough Simple OpenMP,500,5,0.123818,ok,0.124898;0.137194;0.128482;0.121698;0.106819
MM_RS_openmp,Rough Simple OpenMP,1000,5,0.469566,ok,0.477250;0.466923;0.491769;0.453995;0.457891
MM_RS_openmp,Rough Simple OpenMP,5000,5,75.458448,ok,73.108787;75.340528;76.780142;76.084320;75.978461
MM_RS_openmp,Rough Simple OpenMP,10000,5,1002.421638,ok,988.608804;1022.375715;1030.557372;996.677574;973.888724
MM_RS_seq,Rough Simple sequential,10,5,0.000006,ok,0.000007;0.000006;0.000006;0.000006;0.000006
MM_RS_seq,Rough Simple sequential,100,5,0.004926,ok,0.002674;0.004890;0.007041;0.004650;0.005376
MM_RS_seq,Rough Simple sequential,500,5,0.436502,ok,0.455012;0.429395;0.442026;0.421234;0.434844
MM_RS_seq,Rough Simple sequential,1000,5,3.286188,ok,3.485866;3.375020;3.278125;3.140344;3.151586
MM_RS_seq,Rough Simple sequential,5000,0,>300sec,>300sec,
MM_RS_seq,Rough Simple sequential,10000,0,>300sec,>300sec,
